BranchCoverage,CoveredMethodCall,Covered_Goals,ExceptionCoverage,Fitness_Evaluations,Generations,InputCoverage,Length,LineCoverage,Lines,LoopCounter,MethodCall,MethodCoverage,MutationScore,ObjectsInstantiations,OutputCoverage,Random_Seed,Size,StatementCounter,StatementCovered,Statements_Executed,TARGET_CLASS,TestExecutionTime,Tests_Executed,Total_Branches,Total_Time,WeakMutationScore,configuration_id,criterion
0.5084745762711864,44.0,577,1.0,6547,6539,0.6666666666666666,,0.5886075949367089,25,33.0,152.0,0.8636363636363636,0.5850340136054422,0.0,0.6785714285714286,1017,33,0.0,88.0,392688,org.firebirdsql.jdbc.FBCachedFetcher,17,36272,108,213760,0.9538904899135446,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.08258928571428571,3.0,415,1.0,7449,7441,0.215686274509804,,0.09193548387096774,20,85.0,36.0,0.5,0.13655462184873948,0.0,0.09523809523809523,1018,14,5.0,171.0,505520,weka.core.Optimization,31,40947,434,204905,0.2699784017278617,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.2740384615384616,0.0,1130,1.0,6640,6632,0.4032258064516129,,0.3517730496453901,74,94.0,270.0,0.9305555555555556,0.2300884955752213,0.0,0.26881720430107525,1019,81,10.0,26.0,429414,weka.classifiers.rules.JRip,21,36719,362,242883,0.5438066465256798,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.6259097525473072,108.0,1405,0.8571428571428571,1148,1140,0.8181818181818182,,0.3985507246376812,15,293.0,374.0,1.0,0.08055413032324267,0.0,0.5,1019,101,50.0,2020.0,45695,wheel.asm.Frame,112,5977,686,246960,0.4796320630749015,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.61863173216885,83.0,1326,1.0,1624,1616,0.7575757575757576,,0.3719806763285024,15,244.0,459.0,1.0,0.08337609030271935,0.0,0.5,1020,122,66.0,2546.0,70132,wheel.asm.Frame,112,9062,686,250088,0.4086727989487517,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.7591240875912408,2261.0,1415,1.0,3403,3395,0.7469879518072289,,0.8619854721549637,17,10973.0,53.0,1.0,0.13066825775656324,0.0,0.375,1021,46,0.0,26097.0,230999,org.apache.commons.imaging.common.itu_t4.T4AndT6Compression,282,18609,274,283258,0.8025806451612904,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.75,2238.0,2134,1.0,3647,3639,0.2695035460992908,,0.682068206820682,205,672.0,763.0,0.9396984924623116,0.26865671641791045,1479.0,0.15112994350282485,1022,242,0.0,5359.0,98698,wheel.components.Component,155,19858,310,378894,0.6520210896309314,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.967741935483871,0.0,324,1.0,2152,2144,0.8235294117647058,,0.9629629629629628,9,81358.0,59.0,1.0,0.6370370370370371,0.0,0.4166666666666667,1023,19,0.0,259893.0,239894,org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator,598,11647,54,255467,0.9863013698630136,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.8431372549019608,1449.0,612,1.0,28,20,0.3333333333333333,,0.9272727272727272,19,897.0,11.0,0.75,0.2273684210526316,4504.0,0.3333333333333333,1024,4,0.0,4732.0,1050,org.apache.commons.imaging.common.mylzw.MyLzwCompressor,37,125,44,227299,0.9395973154362416,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.71875,2438.0,2132,1.0,3573,3565,0.27423167848699764,,0.7183718371837183,205,727.0,705.0,0.9296482412060302,0.230514096185738,924.0,0.16242937853107345,1025,218,0.0,5672.0,94649,wheel.components.Component,124,19329,310,376204,0.6344463971880492,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
