"class","non-adaptive","pdynamosa","p-value","d","magnitude"
"org.la4j.linear.ForwardBackSubstitutionSolver",0.952380952380952,0.957983193277311,0.708143454479266,0.441176470588235,"negligible"
"org.freehep.math.minuit.MnMinos",0.506993006993007,0.755681818181818,0.00000278679039753975,0.0617408906882591,"large"
"com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager",0.571051970876224,0.607130693042329,0.00995538216805859,0.268272425249169,"medium"
"org.la4j.decomposition.SingularValueDecompositor",0.940828402366864,0.943539219401288,0.0138507477339605,0.721485411140584,"medium"
"weka.classifiers.CheckClassifier",0.832041778975741,0.862020279810037,0.0019402207348006,0.234375,"large"
"com.alibaba.fastjson.serializer.StringCodec",0.866220735785953,0.911193339500463,0.0035490299563678,0.243862520458265,"large"
"org.la4j.matrix.dense.Basic1DMatrix",0.893004115226337,0.911111111111111,0.0363314061819463,0.0333333333333333,"large"
"com.soops.CEN4010.JMCA.JParser.JavaCharStream",0.871399176954733,0.889336917562724,0.0318050360995085,0.261648745519713,"large"
"com.alibaba.fastjson.parser.JSONLexerBase",0.205978635423846,0.25223983459683,0.113359683794466,0.238095238095238,"large"
"org.la4j.matrix.sparse.CRSMatrix",0.763754045307443,0.858529819694868,0.13177185141074,0,"large"
